Reaction,Tinit_NHBE_H,Tinit_293T_H,Tinit_A549_H,Tinit_CALU_H,Tinit_Lung_H,Tinit_NHBE_I,Tinit_293T_I,Tinit_A549_I,Tinit_CALU_I,Tinit_Lung_I
EX_fmn[e],1,1,1,1,1,1,1,1,1,1
EX_fvs[e],1,1,1,1,0,1,1,1,1,1
EX_ga1_hs[e],1,1,1,1,1,1,1,1,1,1
EX_galgluside_hs[e],1,1,1,1,0,1,0,1,1,0
EX_gca3s[e],0,0,1,0,0,0,0,1,0,1
EX_gcdca3s[e],0,0,1,0,0,0,0,1,0,1
EX_gdca3s[e],0,0,1,0,0,0,0,1,0,1
EX_gluside_hs[e],1,1,1,1,1,1,1,1,1,1
EX_glyc3p[e],0,1,1,1,0,0,1,1,0,0
EX_glygn2[e],1,1,1,1,1,1,1,1,1,1
EX_glygn4[e],1,1,1,1,1,1,1,1,1,1
EX_gm1_hs[e],1,1,1,1,1,1,1,1,1,1
EX_gudca3s[e],0,0,1,0,0,0,0,1,0,1
EX_h2co3[e],1,1,1,1,1,1,1,1,1,1
EX_hLkynr[e],1,1,1,1,0,1,0,1,1,0
EX_hca24g[e],0,0,1,0,0,0,0,1,0,1
EX_hca6g[e],0,0,1,0,0,0,0,1,0,1
EX_hdca24g[e],0,0,1,0,0,0,0,1,0,1
EX_hdca6g[e],0,0,1,0,0,0,0,1,0,1
EX_hdca[e],1,1,1,1,1,1,1,1,1,1
EX_hdcea[e],1,1,1,1,1,1,1,1,1,1
EX_hdd2crn[e],1,1,1,1,1,1,1,1,1,1
EX_hexc[e],1,1,1,1,1,1,1,1,1,1
EX_hexdiac[e],0,0,0,0,0,0,0,0,0,1
EX_hmcarn[e],1,0,1,1,1,1,0,1,1,1
EX_hpdca[e],1,1,1,1,1,1,1,1,1,1
EX_hxcoa[e],0,1,0,0,0,0,0,0,0,1
EX_hyochol[e],0,0,1,0,0,0,0,1,0,1
EX_ibup_R[e],0,0,0,0,0,0,0,0,0,1
EX_icdchol[e],0,0,1,0,0,0,0,1,0,1
EX_isochol[e],0,0,1,0,0,0,0,1,0,1
EX_lca24g[e],0,0,1,0,0,0,0,1,0,1
EX_lca3g[e],0,0,1,0,0,0,0,1,0,1
EX_lca3s[e],0,0,1,0,0,0,0,1,0,1
EX_lgnc[e],1,1,1,1,1,1,1,1,1,1
EX_lneldc[e],1,1,1,1,1,1,1,1,1,1
EX_lneldccrn[e],1,0,0,1,1,1,0,0,0,0
EX_lnlccrn[e],1,0,0,1,1,1,0,0,0,1
EX_lnlncg[e],1,1,1,1,1,1,1,1,1,1
EX_lstn[e],0,0,0,1,0,0,0,0,0,0
EX_lthstrl[e],0,0,0,0,0,0,0,0,0,1
EX_lvst[e],0,0,0,0,1,0,0,0,0,0
EX_mag_hs[e],0,0,0,0,0,1,0,0,0,0
EX_malcoa[e],0,0,1,0,0,0,0,1,0,0
EX_mdz[e],0,0,0,0,1,0,0,0,0,0
EX_meracmp[e],0,0,1,0,0,0,0,1,0,1
EX_mev_R[e],0,0,0,0,1,0,0,0,0,0
EX_mhista[e],1,0,1,0,0,1,0,1,0,0
EX_mlthf[e],1,0,1,1,1,1,0,1,0,1
EX_mma[e],0,0,0,0,0,1,0,0,0,0
EX_nfdac[e],0,0,0,0,1,0,0,0,0,0
EX_nh4[e],1,0,0,1,1,1,0,0,1,1
EX_nicrnt[e],1,1,1,0,0,1,1,1,0,1
EX_nrvnc[e],1,1,1,1,1,1,1,1,1,1
EX_ocdca[e],1,1,1,1,1,1,1,1,1,1
EX_ocdcea[e],1,1,1,1,1,1,1,1,1,1
EX_pail_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pchol2linl_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pchol2ole_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pchol2ste_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholar_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholdoc_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholeic_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholet_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholhep_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pchollinl_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholmyr_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn15_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn1836_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn183_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn19_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn201_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn203_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn204_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn205_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn224_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn2254_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn225_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn226_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholn24_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholole_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholpalm_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholpalme_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcholste_hs[e],1,0,0,0,0,0,0,0,0,0
EX_pcollg5hlys[e],0,1,0,0,0,0,0,0,0,1
EX_pe_hs[e],0,0,1,0,0,0,0,0,0,0
EX_pglyc_hs[e],0,1,0,0,0,0,0,0,0,0
EX_phpyr[e],1,1,1,1,1,1,1,1,1,1
EX_phyt[e],0,0,0,0,0,0,0,1,0,0
EX_ppi[e],1,1,1,1,1,1,1,1,1,1
EX_prostgh2[e],0,0,0,0,1,0,0,0,0,1
EX_prostgi2[e],0,0,0,0,1,0,0,0,0,1
EX_prpp[e],1,1,1,1,1,1,1,1,1,1
EX_pser_L[e],0,0,0,0,0,1,0,0,0,1
EX_ptdca[e],1,1,1,1,1,1,1,1,1,1
EX_ptrc[e],1,1,1,1,1,1,1,1,1,0
EX_pvs[e],0,0,1,0,0,0,0,1,0,0
EX_pvsgluc[e],0,0,1,0,0,0,0,1,0,0
EX_q10[e],1,1,0,0,0,1,1,1,1,1
EX_saccrp_L[e],1,0,0,0,0,1,0,0,0,0
EX_sarscov2s,0,0,0,0,0,1,1,1,1,1
EX_selmeth[e],1,1,1,0,1,1,1,1,0,1
EX_smv[e],0,0,0,0,1,0,0,0,0,0
EX_sphgn[e],0,0,0,0,0,0,1,0,0,0
EX_sphings[e],0,0,1,1,1,0,0,1,1,0
EX_spmd[e],0,0,0,0,1,0,0,0,0,0
EX_strdnc[e],1,1,1,1,1,1,1,1,1,1
EX_sucsal[e],1,1,1,1,1,1,1,1,1,1
EX_sulpacmp[e],0,0,1,0,0,0,0,1,0,0
EX_tacr[e],0,0,0,0,1,0,0,0,0,0
EX_tag_hs[e],1,0,1,1,1,1,0,1,1,1
EX_tca3s[e],0,0,1,0,0,0,0,1,0,1
EX_tcdca3s[e],0,0,1,0,0,0,0,1,0,1
EX_tdca3s[e],0,0,1,0,0,0,0,1,0,1
EX_tdechola[e],0,0,1,0,0,0,0,1,0,1
EX_tethex3[e],1,1,1,1,1,1,1,1,1,1
EX_tetpent3[e],1,1,1,1,1,1,1,1,1,1
EX_tetpent6[e],1,1,1,1,1,1,1,1,1,1
EX_tettet6[e],1,1,1,1,1,1,1,1,1,1
EX_thcholstoic[e],1,1,1,1,0,1,0,1,0,1
EX_thyochol[e],0,0,1,0,0,0,0,1,0,1
EX_tmlys[e],1,0,0,0,0,0,0,0,0,0
EX_tmndnc[e],1,1,1,1,1,1,1,1,1,1
EX_tripvs[e],0,0,1,0,0,0,0,1,0,0
EX_ttdca[e],1,1,1,1,1,1,1,1,1,1
EX_ttdcea[e],1,1,1,1,1,1,1,1,1,1
EX_tudca3s[e],0,0,1,0,0,0,0,1,0,1
EX_tym[e],0,0,1,0,0,0,0,1,0,0
EX_uchol[e],0,0,1,0,0,0,0,1,0,1
EX_udca3s[e],0,0,1,0,0,0,0,1,0,1
EX_udpglcur[e],0,0,0,0,0,0,0,0,1,0
EX_vacc[e],1,1,1,1,1,1,1,1,1,1
EX_wharachd[e],0,0,0,0,1,0,0,0,0,1
EX_xol7ah3[e],0,0,1,0,0,0,0,1,0,1
EX_xol7aone[e],1,0,1,0,0,0,0,1,0,1
EX_xoldiolone[e],0,0,1,0,0,0,0,1,0,1
EX_xolest181_hs[e],0,0,0,0,0,0,0,0,0,1
EX_xolest182_hs[e],0,0,0,0,0,0,0,0,0,1
EX_xolest183_hs[e],0,0,0,0,0,0,0,0,0,1
EX_xolest204_hs[e],0,0,0,1,0,0,0,0,0,1
EX_xolest205_hs[e],0,0,0,0,0,0,0,0,0,1
EX_xolest226_hs[e],0,0,0,0,0,0,0,0,0,1
EX_xolest2_hs[e],1,0,1,1,0,1,0,1,0,0
FACOAL1813,1,1,0,1,1,1,0,0,0,1
FACOAL191,0,0,1,0,0,0,0,1,0,0
FACOAL206,0,0,1,0,0,0,0,1,0,0
FAEL183,1,1,1,1,1,1,1,1,1,1
FAEL184,1,1,1,1,1,1,1,1,1,1
FAEL204,1,1,1,1,1,1,1,1,1,1
FAEL205,1,1,1,1,1,1,1,1,1,1
FAOXC101C8m,1,1,0,1,0,1,1,0,0,0
FAOXC102C101m,1,0,1,1,1,1,0,1,1,1
FAOXC102C103m,0,1,1,1,0,0,0,1,1,0
FAOXC102C81m,0,0,1,1,0,0,0,1,1,0
FAOXC102m,0,0,1,1,0,0,0,1,1,0
FAOXC103C102m,0,0,1,1,0,0,0,1,1,0
FAOXC10C10OHm,1,1,1,1,0,1,1,1,1,0
FAOXC10C8m,0,1,0,0,0,0,0,0,0,0
FAOXC11C9m,0,1,0,0,0,0,0,0,0,0
FAOXC121C101m,0,1,0,0,0,0,0,0,1,0
FAOXC122C101m,1,0,1,1,1,0,0,1,1,1
FAOXC122m,1,0,1,1,1,0,0,1,1,1
FAOXC123C102m,0,1,1,1,0,0,0,1,1,0
FAOXC123m,0,1,1,1,1,0,0,1,1,0
FAOXC12C10m,1,1,0,0,1,0,0,0,0,1
FAOXC12C12OHm,1,1,1,1,0,1,1,1,1,0
FAOXC12DCc,0,0,0,0,0,0,0,0,1,0
FAOXC13C11m,1,1,1,1,1,1,1,1,1,0
FAOXC140,1,1,0,0,0,1,1,1,0,1
FAOXC141C121m,1,1,1,1,1,1,1,1,1,0
FAOXC141C141OHm,1,1,1,1,1,1,1,1,1,0
FAOXC142C122m,1,1,1,1,1,1,1,1,1,1
FAOXC142C142OHm,1,1,1,1,1,1,1,1,1,0
FAOXC143C123m,1,1,1,1,1,1,1,1,1,0
FAOXC14C12m,1,1,1,1,1,1,1,1,1,1
FAOXC14C14OHm,1,1,1,1,1,1,1,1,1,0
FAOXC150m,1,1,1,0,1,1,1,1,1,1
FAOXC15ATPx,0,0,1,0,0,0,0,1,0,0
FAOXC15C13m,1,1,1,1,1,1,1,1,1,0
FAOXC160,1,1,0,1,1,1,1,1,1,0
FAOXC16080m,1,1,0,0,0,1,1,1,0,0
FAOXC16080x,1,0,0,0,0,1,0,0,0,0
FAOXC161802m,1,1,0,0,0,1,1,1,0,1
FAOXC16180m,1,1,1,0,1,1,1,1,0,1
FAOXC161C141m,1,1,1,1,1,1,1,1,1,0
FAOXC161C161OHm,1,1,1,1,1,1,1,1,1,0
FAOXC162C142m,1,1,1,1,1,1,1,1,1,1
FAOXC162C162OHm,1,1,1,1,1,1,1,1,1,0
FAOXC163C143m,1,1,1,1,1,1,1,1,1,0
FAOXC163C164Gm,1,1,1,1,1,1,1,1,1,1
FAOXC163GC142m,0,0,1,1,1,0,0,1,1,0
FAOXC163Gm,0,0,1,1,1,0,0,1,1,0
FAOXC164C143m,0,0,1,1,1,0,0,1,1,0
FAOXC164C165m,1,1,1,1,1,1,1,1,1,1
FAOXC164GC163m,1,0,1,1,1,1,0,1,1,1
FAOXC164m,0,0,1,1,1,0,0,1,1,0
FAOXC165C164m,1,0,1,1,1,1,0,1,1,1
FAOXC16BRx,0,0,1,0,0,0,0,1,0,0
FAOXC16C14m,1,1,1,1,1,1,1,1,1,1
FAOXC16C16OHm,1,1,1,1,1,1,1,1,1,0
FAOXC16DCr,1,0,0,0,1,1,0,0,0,1
FAOXC170m,1,1,1,0,0,1,1,1,1,0
FAOXC17C15m,1,1,1,1,1,1,1,1,1,0
FAOXC180,1,1,1,0,1,1,1,1,1,1
FAOXC180x,1,0,0,0,0,1,0,0,0,0
FAOXC1811601m,1,1,0,0,0,1,1,1,0,0
FAOXC1811603m,1,1,0,0,0,1,1,1,0,0
FAOXC182806m,1,1,1,0,0,1,1,1,0,0
FAOXC18280m,1,1,0,0,0,1,1,1,0,0
FAOXC182C162m,1,1,1,1,1,1,1,1,1,1
FAOXC182C182OHm,1,1,1,1,1,1,1,1,1,0
FAOXC183803m,1,1,0,0,0,1,1,1,0,0
FAOXC183806m,1,1,1,0,0,1,1,1,0,0
FAOXC183C163Gm,1,1,1,1,1,1,1,1,1,1
FAOXC183C163m,1,1,1,1,1,1,1,1,1,0
FAOXC18480m,1,1,0,0,0,1,1,1,0,0
FAOXC18480x,1,0,0,0,0,1,0,0,0,0
FAOXC184C163m,0,0,1,1,1,0,0,1,1,0
FAOXC184C164m,1,1,1,1,1,1,1,1,1,1
FAOXC184m,0,0,1,1,1,0,0,1,1,0
FAOXC185C164m,0,0,1,1,1,0,0,1,1,0
FAOXC185m,0,0,1,1,1,0,0,1,1,0
FAOXC18C18OHm,1,1,1,1,1,1,1,1,1,0
FAOXC200180m,1,1,1,0,1,1,1,1,1,1
FAOXC200180x,1,0,1,0,0,1,0,0,0,0
FAOXC2031836m,1,1,0,0,0,1,1,1,0,0
FAOXC204,1,1,1,0,0,1,1,1,0,0
FAOXC204184m,1,1,0,0,0,1,1,1,0,0
FAOXC204C184m,1,1,1,1,1,1,0,1,1,0
FAOXC2051843m,1,1,1,1,1,1,1,1,1,1
FAOXC2051843x,1,0,0,0,0,1,0,0,0,0
FAOXC205C185m,1,1,1,1,1,1,0,1,1,0
FAOXC2242046m,1,1,0,0,0,1,1,1,0,0
FAOXC2252053m,1,1,0,0,0,1,1,0,0,0
FAOXC2252053x,1,0,0,0,0,1,0,0,0,0
FAOXC225C204m,1,1,1,1,1,1,0,1,1,0
FAOXC225C226m,1,1,1,1,1,1,1,1,1,1
FAOXC225C226x,1,0,0,0,0,1,0,0,0,0
FAOXC225m,1,1,1,1,1,1,0,1,1,0
FAOXC226205m,1,1,1,1,1,1,1,1,1,1
FAOXC226205x,1,0,0,0,0,1,0,0,0,0
FAOXC226C205m,1,1,1,1,1,1,0,1,1,0
FAOXC226C225m,1,1,1,1,1,1,0,1,1,1
FAOXC226C227m,1,1,1,1,1,1,1,1,1,1
FAOXC226m,1,1,1,1,1,1,0,1,1,0
FAOXC227C226m,1,1,1,1,1,1,0,1,1,1
FAOXC22C20x,0,0,0,0,0,0,0,0,0,1
FAOXC240200x,1,1,1,1,1,1,1,1,1,1
FAOXC241181x,1,1,1,1,1,1,1,1,1,1
FAOXC2452256x,1,1,1,1,1,1,1,1,1,1
FAOXC246226x,1,1,1,1,1,1,1,1,1,1
FAOXC260240x,1,1,1,1,1,1,1,1,1,1
FAOXC3DC,0,0,1,0,0,0,0,1,1,0
FAOXC4C4DCc,0,0,0,0,0,0,0,0,1,0
FAOXC5C5DCc,0,0,0,0,0,0,0,0,1,0
FAOXC5OHc,0,0,0,0,0,0,0,0,1,0
FAOXC61C4m,0,1,0,1,0,0,1,0,0,0
FAOXC61m,0,0,1,1,0,0,0,1,1,0
FAOXC6C4m,0,1,0,0,0,0,0,0,0,0
FAOXC7C5m,0,1,0,0,0,0,0,0,0,0
FAOXC80,1,1,1,1,1,1,1,1,1,1
FAOXC81C61m,0,0,1,1,0,0,0,1,1,0
FAOXC8C6m,0,1,0,0,0,0,1,0,0,0
FAOXC9C7m,0,1,0,0,0,0,0,0,0,0
FAOXOHC16C16DCc,1,0,1,0,1,1,0,1,0,0
FAOXTC101TC102m,0,1,1,1,0,0,0,1,1,0
FAOXTC102C101m,0,0,1,1,0,0,0,1,1,0
FAOXTC122TC101m,0,1,1,1,0,0,0,1,1,0
FAOXTC122m,0,1,1,1,1,0,0,1,1,0
FAOXTC142TC122m,1,1,1,1,1,1,1,1,1,0
FAOXTC162TC142m,1,1,1,1,1,1,1,1,1,0
FAOXTC182TC162m,1,1,1,1,1,1,1,1,1,0
FAS120COA,0,0,0,0,1,0,0,0,0,1
FAS140COA,1,1,0,1,1,1,1,1,1,1
FAS80COA_L,1,1,1,1,0,1,1,1,1,0
FCLTc,1,1,0,1,1,1,1,0,1,1
FCLTm,0,0,1,1,0,0,0,1,0,0
FMNALKPle,1,1,1,1,1,1,1,1,1,1
FOLABCCte,1,0,1,0,1,0,0,1,0,1
FOLTle,0,1,1,0,0,0,0,1,0,0
FOLt2,0,0,0,1,0,0,0,1,0,0
FRDPtcr,0,0,1,1,1,0,1,0,1,1
FRDPtr,1,1,0,0,0,1,0,1,0,0
FVSCOAhc,1,1,1,1,0,1,1,1,1,1
FVSCOAitx,1,1,1,1,0,1,1,1,1,1
FVSitx,1,1,1,1,0,1,1,1,1,1
FVStep,1,1,1,1,0,1,1,1,1,1
G6PDH2c,1,0,1,1,0,1,1,1,1,1
GA1tl,1,1,1,1,1,1,1,1,1,1
GBA2e,0,1,0,0,1,1,1,0,0,0
GCA3Sabc,0,0,1,0,0,0,0,1,0,1
GCA3St,0,0,1,0,0,0,0,1,0,1
GCDCA3Sabc,0,0,1,0,0,0,0,1,0,1
GCDCA3St,0,0,1,0,0,0,0,1,0,1
GCHOLAte,0,0,0,0,0,0,0,0,0,1
GD1Btl,0,0,1,0,0,0,0,0,1,0
GD3tlc,0,0,1,0,0,0,0,0,0,0
GDCA3Sabc,0,0,1,0,0,0,0,1,0,1
GDCA3St,0,0,1,0,0,0,0,1,0,1
GLA2l,0,1,1,1,1,0,1,1,1,1
GLCt2_2,0,0,0,0,0,0,1,0,0,0
GLDBRAN,1,1,1,1,0,1,1,1,1,1
GLNATB0tc,0,0,0,0,1,1,0,0,0,1
GLNLYSTRPr,0,0,1,0,0,0,0,0,0,0
GLNtm,0,1,0,0,1,0,0,0,0,0
GLNyLATthc,0,1,0,0,1,0,1,0,0,0
GLUSIDEtl,0,1,1,1,0,0,1,1,0,0
GLUTCOAACBP,1,1,1,1,1,1,1,1,1,1
GLYC3tr,0,1,1,1,0,0,1,1,0,0
GLYGLYCNc,1,0,1,1,1,1,0,1,1,1
GLYLEUHYDROc,1,0,1,1,1,1,0,1,1,1
GLYPROPRO1c,0,0,1,1,1,0,0,1,0,1
GLYSARCNc,1,1,1,0,1,1,1,1,0,1
GM1tl,1,1,1,1,1,1,1,1,1,1
GNDc,1,1,1,1,1,1,1,1,1,1
GPDDACHOL,1,0,0,0,0,1,0,0,0,0
GRTTx,1,1,1,1,1,1,1,1,1,0
GUDCA3Sabc,0,0,1,0,0,0,0,1,0,1
GUDCA3St,0,0,1,0,0,0,0,1,0,1
H2OGLYAQPt,1,0,0,0,1,1,0,0,0,1
HC02194c,0,0,1,0,0,0,0,1,0,1
HC02194te,0,0,1,0,0,0,0,1,0,1
HC02195te,0,0,1,0,0,0,0,1,0,1
HC02196te,0,0,1,0,0,0,0,1,0,1
HC02220t,0,0,1,0,0,0,0,1,0,1
HC02220te,0,0,1,0,0,0,0,1,0,1
HCA24GSc,0,0,1,0,0,0,0,1,0,1
HCA24Gte,0,0,1,0,0,0,0,1,0,1
HCA6GSc,0,0,1,0,0,0,0,1,0,1
HCA6Gte,0,0,1,0,0,0,0,1,0,1
HDCA24GSc,0,0,1,0,0,0,0,1,0,1
HDCA24Gte,0,0,1,0,0,0,0,1,0,1
HDCA6GSc,0,0,1,0,0,0,0,1,0,1
HDCA6Gte,0,0,1,0,0,0,0,1,0,1
HDCACBP,1,1,1,1,1,1,1,1,1,1
HDD2CRNte,0,1,0,0,0,0,0,0,0,0
HDD2CRNte2,1,1,1,1,1,1,1,1,1,1
HDDACBP,1,1,1,1,1,1,1,1,1,1
HDECAACBP,1,1,1,1,1,1,1,1,1,1
HDECEACBP,1,1,1,1,1,1,1,1,1,1
HEXA2l,0,0,1,0,0,0,0,0,1,0
HEXAHBl,1,0,0,0,0,1,0,0,0,0
HEXDIACtd,0,0,0,0,0,0,0,0,0,1
HEXDIACtr,1,0,0,0,1,1,0,0,0,1
HEXDICOAACBP,1,1,1,1,1,1,1,1,1,1
HEXDICOAACBPx,1,1,1,1,1,1,1,1,1,1
HEXDTRm,1,1,1,1,0,1,0,1,1,0
HIShPTtc,0,0,0,0,1,0,0,0,0,1
HISyLATtc,0,1,0,0,1,0,1,0,0,0
HISyLATthc,0,1,0,0,1,0,1,0,0,0
HIVCACBP,1,1,1,1,1,1,1,1,1,1
HKYNRtr,1,1,1,1,0,1,0,1,1,0
HMCARNt,1,0,1,1,1,1,0,1,1,1
HMGCOAtx,0,0,1,0,0,0,0,0,0,1
HMR_0001,1,1,1,1,1,1,0,1,1,1
HMR_0002,0,0,0,0,1,0,0,0,0,1
HMR_0003,1,0,0,1,1,1,0,0,1,1
HMR_0004,0,0,1,0,1,0,0,1,0,1
HMR_0005,0,0,1,0,1,0,0,1,0,1
HMR_0006,1,0,1,1,1,1,0,1,1,1
HMR_0007,0,0,0,0,1,0,0,0,0,1
HMR_0008,0,0,0,0,1,0,0,0,0,1
HMR_0009,0,0,1,0,1,0,0,1,0,1
HMR_0010,0,0,1,0,1,0,0,1,0,1
HMR_0015,1,1,1,1,1,1,1,1,1,1
HMR_0019,1,0,1,1,0,1,0,1,0,0
HMR_0025,1,1,1,1,1,1,1,1,1,1
HMR_0030,1,1,1,1,1,1,1,1,1,1
HMR_0031,1,1,1,1,1,1,1,1,1,1
HMR_0032,1,1,1,1,1,1,1,1,1,1
HMR_0153,1,0,1,1,0,1,0,1,0,1
HMR_0154,1,1,1,1,1,1,1,1,1,1
HMR_0155,1,1,1,1,1,1,1,1,1,1
HMR_0156,0,0,0,0,0,0,0,0,0,1
HMR_0158,1,1,1,1,1,1,1,1,1,1
HMR_0159,0,0,0,0,0,0,0,0,1,0
HMR_0164,1,1,1,1,1,1,1,1,1,1
HMR_0165,0,0,0,0,0,0,0,0,0,1
HMR_0167,1,1,1,1,1,1,1,1,1,1
HMR_0168,0,0,0,0,0,0,0,0,0,1
HMR_0169,1,1,1,1,1,1,1,1,1,1
HMR_0170,1,1,1,1,1,1,1,1,1,1
HMR_0171,0,0,0,0,0,0,0,0,0,1
HMR_0173,1,1,1,1,1,1,1,1,1,1
HMR_0174,0,0,0,0,0,0,0,0,0,1
HMR_0176,1,1,1,1,1,1,1,1,1,1
HMR_0177,0,0,0,0,0,0,0,0,0,1
HMR_0179,1,1,1,1,1,1,1,1,1,1
HMR_0180,0,0,0,0,0,0,0,0,0,1
HMR_0182,0,0,0,0,1,0,0,0,0,1
HMR_0183,1,1,1,1,1,1,1,1,1,1
HMR_0184,0,0,0,0,0,0,0,0,0,1
HMR_0187,1,1,1,1,1,1,1,1,1,1
HMR_0188,1,1,1,1,1,1,1,1,1,1
HMR_0189,1,1,1,1,0,1,0,1,1,0
HMR_0190,1,1,1,1,1,1,1,1,1,1
HMR_0191,1,1,1,1,1,1,1,1,1,1
HMR_0192,1,1,1,1,1,1,1,1,1,1
HMR_0193,1,1,1,1,0,1,0,1,1,0
HMR_0195,1,1,1,1,1,1,1,1,1,1
HMR_0196,1,1,1,1,1,1,1,1,1,1
HMR_0197,1,1,1,1,0,1,0,1,1,0
HMR_0199,1,1,1,1,1,1,1,1,1,1
HMR_0200,1,1,1,1,1,1,1,1,1,1
HMR_0201,1,1,1,1,0,1,0,1,1,0
HMR_0203,1,1,1,1,1,1,1,1,1,1
HMR_0204,1,1,1,1,1,1,1,1,1,1
HMR_0206,1,1,1,1,0,1,0,1,1,0
HMR_0208,1,1,1,1,1,1,1,1,1,1
HMR_0209,1,1,1,1,1,1,1,1,1,1
HMR_0210,1,1,1,1,0,1,0,1,1,0
HMR_0212,1,1,1,1,1,1,1,1,1,1
HMR_0213,1,1,1,1,1,1,1,1,1,1
HMR_0214,1,1,1,1,0,1,0,1,1,0
HMR_0216,1,1,1,1,1,1,1,1,1,1
HMR_0217,1,1,1,1,1,1,1,1,1,1
HMR_0223,1,1,1,1,0,1,0,1,1,0
HMR_0225,1,1,1,1,1,1,1,1,1,1
HMR_0226,1,1,1,1,1,1,1,1,1,1
HMR_0230,1,1,1,1,0,1,0,1,1,0
HMR_0232,1,1,1,1,1,1,1,1,1,1
HMR_0233,1,1,1,1,1,1,1,1,1,1
HMR_0234,1,1,1,1,0,1,0,1,1,0
HMR_0236,1,1,1,1,1,1,1,1,1,1
HMR_0237,1,1,1,1,1,1,1,1,1,1
HMR_0238,1,1,1,1,0,1,0,1,1,0
HMR_0240,1,1,1,1,1,1,1,1,1,1
HMR_0241,1,1,1,1,1,1,1,1,1,1
HMR_0242,1,1,1,1,0,1,0,1,1,0
HMR_0244,1,1,1,1,1,1,1,1,1,1
HMR_0245,1,1,1,1,1,1,1,1,1,1
HMR_0246,1,1,1,1,0,1,0,1,1,0
HMR_0248,1,1,1,1,1,1,1,1,1,1
HMR_0249,1,1,1,1,1,1,1,1,1,1
HMR_0250,1,1,1,1,0,1,0,1,1,0
HMR_0254,1,1,1,1,1,1,1,1,1,1
HMR_0255,1,1,1,1,1,1,1,1,1,1
HMR_0256,1,1,1,1,0,1,0,1,1,0
HMR_0258,1,1,1,1,1,1,1,1,0,1
HMR_0259,1,1,1,1,1,1,1,1,1,1
HMR_0260,1,1,1,1,0,1,0,1,1,0
HMR_0262,1,1,1,1,1,1,1,1,1,1
HMR_0263,1,1,1,1,1,1,1,1,1,1
HMR_0264,1,1,1,1,0,1,0,1,1,0
HMR_0266,1,1,1,1,1,1,1,1,1,1
HMR_0267,1,1,1,1,1,1,1,1,1,1
HMR_0268,1,1,1,1,0,1,0,1,1,0
HMR_0270,1,1,1,1,1,1,1,1,1,1
HMR_0271,1,1,1,1,1,1,1,1,1,1
HMR_0272,1,1,1,1,1,1,0,1,1,0
HMR_0274,1,1,1,1,1,1,1,1,1,1
HMR_0275,1,1,1,1,1,1,1,1,1,1
HMR_0276,1,1,1,1,0,1,0,1,1,0
HMR_0278,1,1,1,1,1,1,1,1,1,1
HMR_0279,1,1,1,1,1,1,1,1,1,1
HMR_0280,1,1,1,1,0,1,0,1,1,0
HMR_0282,1,1,1,1,1,1,1,1,1,1
HMR_0283,1,1,1,1,1,1,1,1,1,1
HMR_0284,1,1,1,1,0,1,0,1,1,0
HMR_0288,1,1,1,1,1,1,1,1,1,1
HMR_0289,1,1,1,1,1,1,1,1,1,1
HMR_0290,1,1,1,1,0,1,0,1,1,0
HMR_0292,1,1,1,1,1,1,1,1,1,1
HMR_0293,1,1,1,1,1,1,1,1,1,1
HMR_0294,1,1,1,1,0,1,0,1,1,0
HMR_0296,1,1,1,1,1,1,1,1,1,1
HMR_0297,1,1,1,1,1,1,1,1,1,1
HMR_0298,1,1,1,1,0,1,0,1,1,0
HMR_0300,1,1,1,1,1,1,1,1,1,1
HMR_0301,1,1,1,1,1,1,1,1,1,1
HMR_0302,1,1,1,1,0,1,0,1,1,0
HMR_0304,1,1,1,1,1,1,1,1,1,1
HMR_0305,1,1,1,1,1,1,1,1,1,1
HMR_0306,1,1,1,1,0,1,0,1,1,0
HMR_0308,1,1,1,1,1,1,1,1,1,1
HMR_0309,1,1,1,1,1,1,1,1,1,1
